customer_number,household_size,quarter,amount
1,4,"Q1 Balance",1669
2,5,"Q1 Balance",39
3,2,"Q1 Balance",367
4,4,"Q1 Balance",1578
5,6,"Q1 Balance",2140
6,4,"Q1 Balance",1847
7,3,"Q1 Balance",468
8,4,"Q1 Balance",132
9,4,"Q1 Balance",894
10,4,"Q1 Balance",1814
11,2,"Q1 Balance",762
12,5,"Q1 Balance",551
13,2,"Q1 Balance",1756
14,3,"Q1 Balance",1996
15,3,"Q1 Balance",1819
16,2,"Q1 Balance",1715
17,4,"Q1 Balance",567
18,4,"Q1 Balance",272
19,4,"Q1 Balance",1876
20,5,"Q1 Balance",764
21,4,"Q1 Balance",1234
22,3,"Q1 Balance",720
23,3,"Q1 Balance",1876
24,5,"Q1 Balance",714
25,4,"Q1 Balance",1709
26,5,"Q1 Balance",1931
27,1,"Q1 Balance",245
28,2,"Q1 Balance",54
29,3,"Q1 Balance",551
30,1,"Q1 Balance",687
31,3,"Q1 Balance",1306
32,5,"Q1 Balance",781
33,4,"Q1 Balance",82
34,4,"Q1 Balance",715
35,2,"Q1 Balance",1713
36,4,"Q1 Balance",995
37,2,"Q1 Balance",605
38,4,"Q1 Balance",1866
39,8,"Q1 Balance",206
40,3,"Q1 Balance",1832
41,3,"Q1 Balance",1012
42,3,"Q1 Balance",340
43,4,"Q1 Balance",185
44,3,"Q1 Balance",737
45,2,"Q1 Balance",997
46,5,"Q1 Balance",206
47,6,"Q1 Balance",574
48,3,"Q1 Balance",740
49,3,"Q1 Balance",794
50,5,"Q1 Balance",689
51,2,"Q1 Balance",1536
52,3,"Q1 Balance",1983
53,4,"Q1 Balance",198
54,4,"Q1 Balance",688
55,3,"Q1 Balance",1312
56,5,"Q1 Balance",2024
57,4,"Q1 Balance",850
58,2,"Q1 Balance",1787
59,2,"Q1 Balance",272
60,3,"Q1 Balance",755
61,4,"Q1 Balance",430
62,2,"Q1 Balance",2189
63,3,"Q1 Balance",1445
64,2,"Q1 Balance",382
65,4,"Q1 Balance",341
66,2,"Q1 Balance",725
67,3,"Q1 Balance",1459
68,2,"Q1 Balance",440
69,4,"Q1 Balance",742
70,5,"Q1 Balance",660
71,2,"Q1 Balance",220
72,1,"Q1 Balance",293
73,1,"Q1 Balance",717
74,3,"Q1 Balance",1634
75,5,"Q1 Balance",1073
76,4,"Q1 Balance",1234
77,5,"Q1 Balance",235
78,3,"Q1 Balance",570
79,2,"Q1 Balance",625
80,3,"Q1 Balance",1610
81,4,"Q1 Balance",1675
82,4,"Q1 Balance",662
83,3,"Q1 Balance",1471
84,5,"Q1 Balance",969
85,3,"Q1 Balance",200
86,4,"Q1 Balance",332
87,5,"Q1 Balance",697
88,4,"Q1 Balance",538
89,5,"Q1 Balance",321
90,3,"Q1 Balance",1864
91,2,"Q1 Balance",757
92,3,"Q1 Balance",195
93,2,"Q1 Balance",636
94,3,"Q1 Balance",1535
95,3,"Q1 Balance",187
96,4,"Q1 Balance",534
97,2,"Q1 Balance",876
98,3,"Q1 Balance",1274
99,4,"Q1 Balance",1790
100,3,"Q1 Balance",382
101,3,"Q1 Balance",592
